,cik,date,name,value,variable
183,0000072741,1957-01-01,Eversource Energy,ES,added_ticker
228,0000874766,1957-01-01,Hartford Financial Svc.Gp.,HIG,added_ticker
435,0001113169,1957-01-01,T. Rowe Price Group,TROW,added_ticker
349,0001111711,1957-01-01,NiSource Inc.,NI,added_ticker
185,0001109357,1957-01-01,Exelon Corp.,EXC,added_ticker
421,0000092122,1957-01-01,Southern Co.,SO,added_ticker
320,0001099219,1957-01-01,MetLife Inc.,MET,added_ticker
107,0000093410,1957-01-01,Chevron Corp.,CVX,added_ticker
426,0000093751,1957-01-01,State Street Corp.,STT,added_ticker
442,0000097476,1957-01-01,Texas Instruments,TXN,added_ticker
444,0000097745,1957-01-01,Thermo Fisher Scientific,TMO,added_ticker
453,0000100493,1957-01-01,Tyson Foods,TSN,added_ticker
459,0000100885,1957-01-01,Union Pacific Corp,UNP,added_ticker
464,0000101829,1957-01-01,United Technologies,UTX,added_ticker
169,0001065088,1957-01-01,eBay Inc.,EBAY,added_ticker
331,0001059556,1957-01-01,Moody's Corp,MCO,added_ticker
383,0000080424,1957-01-01,Procter & Gamble,PG,added_ticker
492,0000106535,1957-01-01,Weyerhaeuser,WY,added_ticker
380,0000079879,1957-01-01,PPG Industries,PPG,added_ticker
371,0000077476,1957-01-01,PepsiCo Inc.,PEP,added_ticker
258,0000051434,1957-01-01,International Paper,IP,added_ticker
277,0000055067,1957-01-01,Kellogg Co.,K,added_ticker
280,0000055785,1957-01-01,Kimberly-Clark,KMB,added_ticker
286,0000056873,1957-01-01,Kroger Co.,KR,added_ticker
292,0000058492,1957-01-01,Leggett & Platt,LEG,added_ticker
300,0000060086,1957-01-01,Loews Corp.,L,added_ticker
314,0000063754,1957-01-01,McCormick & Co.,MKC,added_ticker
423,0000064040,1957-01-01,"S&P Global, Inc.",SPGI,added_ticker
141,0000064803,1957-01-01,CVS Health,CVS,added_ticker
129,0001163165,1957-01-01,ConocoPhillips,COP,added_ticker
175,0000065984,1957-01-01,Entergy Corp.,ETR,added_ticker
0,0000066740,1957-01-01,3M Company,MMM,added_ticker
334,0000068505,1957-01-01,Motorola Solutions Inc.,MSI,added_ticker
497,0000072903,1957-01-01,Xcel Energy Inc,XEL,added_ticker
353,0000073124,1957-01-01,Northern Trust Corp.,NTRS,added_ticker
374,0000078003,1957-01-01,Pfizer Inc.,PFE,added_ticker
493,0000106640,1957-01-01,Whirlpool Corp.,WHR,added_ticker
498,0000108772,1957-01-01,Xerox,XRX,added_ticker
309,0001048286,1957-01-01,Marriott Int'l.,MAR,added_ticker
27,0000764180,1957-01-01,Altria Group Inc,MO,added_ticker
381,0000922224,1957-01-01,PPL Corp.,PPL,added_ticker
377,0000764622,1957-01-01,Pinnacle West Capital,PNW,added_ticker
387,0000788784,1957-01-01,Public Serv. Enterprise Inc.,PEG,added_ticker
227,0000793952,1957-01-01,Harley-Davidson,HOG,added_ticker
305,0000794367,1957-01-01,Macy's Inc.,M,added_ticker
393,0000804328,1957-01-01,QUALCOMM Inc.,QCOM,added_ticker
477,0000899689,1957-01-01,Vornado Realty Trust,VNO,added_ticker
483,0000823768,1957-01-01,Waste Management Inc.,WM,added_ticker
171,0000827052,1957-01-01,Edison Int'l,EIX,added_ticker
425,0000829224,1957-01-01,Starbucks Corp.,SBUX,added_ticker
332,0000895421,1957-01-01,Morgan Stanley,MS,added_ticker
284,0000885639,1957-01-01,Kohl's Corp.,KSS,added_ticker
211,0000831259,1957-01-01,Freeport-McMoRan Inc.,FCX,added_ticker
142,0000882184,1957-01-01,D. R. Horton,DHI,added_ticker
317,0000927653,1957-01-01,McKesson Corp.,MCK,added_ticker
161,0000936340,1957-01-01,DTE Energy Co.,DTE,added_ticker
144,0000940944,1957-01-01,Darden Restaurants,DRI,added_ticker
484,0001000697,1957-01-01,Waters Corporation,WAT,added_ticker
130,0001047862,1957-01-01,Consolidated Edison,ED,added_ticker
397,0001047122,1957-01-01,Raytheon Co.,RTN,added_ticker
288,0000202058,1957-01-01,L3Harris Technologies,LHX,added_ticker
275,0001043604,1957-01-01,Juniper Networks,JNPR,added_ticker
319,0000310158,1957-01-01,Merck & Co.,MRK,added_ticker
143,0000313616,1957-01-01,Danaher Corp.,DHR,added_ticker
146,0000315189,1957-01-01,Deere & Co.,DE,added_ticker
256,0000051143,1957-01-01,International Business Machines,IBM,added_ticker
283,0000319201,1957-01-01,KLA Corporation,KLAC,added_ticker
415,0001032208,1957-01-01,Sempra Energy,SRE,added_ticker
197,0001031296,1957-01-01,FirstEnergy Corp,FE,added_ticker
405,0001024478,1957-01-01,Rockwell Automation Inc.,ROK,added_ticker
352,0000702165,1957-01-01,Norfolk Southern Corp.,NSC,added_ticker
158,0000715957,1957-01-01,Dominion Energy,D,added_ticker
414,0001012100,1957-01-01,Sealed Air,SEE,added_ticker
367,0000723531,1957-01-01,Paychex Inc.,PAYX,added_ticker
468,0001035002,1957-01-01,Valero Energy,VLO,added_ticker
246,0000049196,1957-01-01,Huntington Bancshares,HBAN,added_ticker
437,0001116132,1957-01-01,"Tapestry, Inc.",TPR,added_ticker
475,0001339947,1957-01-01,Viacom Inc.,VIAB,added_ticker
210,0000038777,1957-01-01,Franklin Resources,BEN,added_ticker
204,0000037996,1957-01-01,Ford Motor,F,added_ticker
303,0000036270,1957-01-01,M&T Bank Corp.,MTB,added_ticker
456,0000036104,1957-01-01,U.S. Bancorp,USB,added_ticker
196,0000035527,1957-01-01,Fifth Third Bancorp,FITB,added_ticker
189,0000034088,1957-01-01,Exxon Mobil Corp.,XOM,added_ticker
361,0000029989,1957-01-01,Omnicom Group,OMC,added_ticker
134,0000024741,1957-01-01,Corning Inc.,GLW,added_ticker
124,0000021665,1957-01-01,Colgate-Palmolive,CL,added_ticker
122,0000021344,1957-01-01,Coca-Cola Company,KO,added_ticker
94,0000018230,1957-01-01,Caterpillar Inc.,CAT,added_ticker
88,0000016732,1957-01-01,Campbell Soup,CPB,added_ticker
245,0000049071,1957-01-01,Humana Inc.,HUM,added_ticker
81,0000014272,1957-01-01,Bristol-Myers Squibb,BMY,added_ticker
76,0000012927,1957-01-01,Boeing Company,BA,added_ticker
491,0001636023,1957-01-01,WestRock,WRK,added_ticker
32,0000004904,1957-01-01,American Electric Power,AEP,added_ticker
164,0001666700,1957-01-01,DuPont de Nemours Inc,DD,added_ticker
64,0001701605,1957-01-01,"Baker Hughes, a GE Company",BHGE,added_ticker
215,0000040533,1957-01-01,General Dynamics,GD,added_ticker
216,0000040545,1957-01-01,General Electric,GE,added_ticker
168,0001551182,1957-01-01,Eaton Corporation,ETN,added_ticker
234,0000047111,1957-01-01,The Hershey Company,HSY,added_ticker
225,0000045012,1957-01-01,Halliburton Co.,HAL,added_ticker
490,0001365135,1957-01-01,Western Union Co,WU,added_ticker
53,0000004281,1964-03-31,Arconic Inc.,ARNC,added_ticker
241,0000773840,1964-03-31,Honeywell Int'l Inc.,HON,added_ticker
1,0000001800,1964-03-31,Abbott Laboratories,ABT,added_ticker
416,0000089800,1964-06-30,Sherwin-Williams,SHW,added_ticker
140,0000026172,1965-03-31,Cummins Inc.,CMI,added_ticker
412,0000087347,1965-03-31,Schlumberger Ltd.,SLB,added_ticker
174,0000032604,1965-03-31,Emerson Electric Company,EMR,added_ticker
139,0000277948,1967-09-30,CSX Corp.,CSX,added_ticker
119,0000021076,1969-03-31,The Clorox Company,CLX,added_ticker
217,0000040704,1969-03-31,General Mills,GIS,added_ticker
343,0001164727,1969-06-30,Newmont Goldcorp,NEM,added_ticker
316,0000063908,1970-06-30,McDonald's Corp.,MCD,added_ticker
295,0000059478,1970-12-31,Lilly (Eli) & Co.,LLY,added_ticker
68,0000010456,1972-09-30,Baxter International Inc.,BAX,added_ticker
70,0000010795,1972-09-30,Becton Dickinson,BDX,added_ticker
272,0000200406,1973-06-30,Johnson & Johnson,JNJ,added_ticker
219,0000040987,1973-12-31,Genuine Parts,GPC,added_ticker
244,0000047217,1974-12-31,HP Inc.,HPQ,added_ticker
494,0000107263,1975-03-31,Williams Cos.,WMB,added_ticker
274,0000019617,1975-06-30,JPMorgan Chase & Co.,JPM,added_ticker
260,0000051253,1976-03-31,Intl Flavors & Fragrances,IFF,added_ticker
482,0001001039,1976-06-30,The Walt Disney Company,DIS,added_ticker
328,0000024545,1976-06-30,Molson Coors Brewing Company,TAP,added_ticker
162,0001326160,1976-06-30,Duke Energy,DUK,added_ticker
111,0000701221,1976-06-30,CIGNA Corp.,CI,added_ticker
346,0000753308,1976-06-30,NextEra Energy,NEE,added_ticker
33,0000004962,1976-06-30,American Express Co,AXP,added_ticker
487,0000072971,1976-06-30,Wells Fargo,WFC,added_ticker
296,0000059558,1976-06-30,Lincoln National,LNC,added_ticker
66,0000070858,1976-06-30,Bank of America Corp,BAC,added_ticker
254,0000050863,1976-12-31,Intel Corp.,INTC,added_ticker
438,0000027419,1976-12-31,Target Corp.,TGT,added_ticker
443,0000217346,1978-12-31,Textron Inc.,TXT,added_ticker
467,0000103379,1979-06-30,V.F. Corp.,VFC,added_ticker
481,0001618921,1979-12-31,Walgreens Boots Alliance,WBA,added_ticker
34,0000005272,1980-03-31,American International Group,AIG,added_ticker
364,0000075362,1980-12-31,PACCAR Inc.,PCAR,added_ticker
194,0001048911,1980-12-31,FedEx Corporation,FDX,added_ticker
60,0000008670,1981-03-31,Automatic Data Processing,ADP,added_ticker
224,0000277135,1981-06-30,Grainger (W.W.) Inc.,GWW,added_ticker
312,0000062996,1981-06-30,Masco Corp.,MAS,added_ticker
52,0000007084,1981-07-29,Archer-Daniels-Midland Co,ADM,added_ticker
480,0000104169,1982-08-31,Walmart,WMT,added_ticker
424,0000093556,1982-09-30,Stanley Black & Decker,SWK,added_ticker
420,0000091440,1982-09-30,Snap-on,SNA,added_ticker
84,0000014693,1982-10-31,Brown-Forman Corp.,BF.B,added_ticker
49,0000320193,1982-11-30,Apple Inc.,AAPL,added_ticker
360,0000797468,1982-12-31,Occidental Petroleum,OXY,added_ticker
127,0000023217,1983-08-31,Conagra Brands,CAG,added_ticker
287,0000701985,1983-09-30,L Brands Inc.,LB,added_ticker
58,0000732717,1983-11-30,AT&T Inc.,T,added_ticker
473,0000732712,1983-11-30,Verizon Communications,VZ,added_ticker
301,0000060667,1984-02-29,Lowe's Cos.,LOW,added_ticker
389,0000822416,1984-04-30,Pulte Homes Inc.,PHM,added_ticker
235,0000004447,1984-05-31,Hess Corporation,HES,added_ticker
299,0000936468,1984-07-31,Lockheed Martin Corp.,LMT,added_ticker
229,0000046080,1984-09-30,Hasbro Inc.,HAS,added_ticker
65,0000009389,1984-10-31,Ball Corp,BLL,added_ticker
486,0001279363,1985-01-01,WellCare,WCG,added_ticker
357,0000073309,1985-04-30,Nucor Corp.,NUE,added_ticker
13,0000002969,1985-04-30,Air Products & Chemicals Inc,APD,added_ticker
372,0000031791,1985-05-31,PerkinElmer,PKI,added_ticker
354,0001133421,1985-06-30,Northrop Grumman,NOC,added_ticker
101,0001130310,1985-07-31,CenterPoint Energy,CNP,added_ticker
447,0000109198,1985-09-30,TJX Companies Inc.,TJX,added_ticker
159,0000029905,1985-10-31,Dover Corp.,DOV,added_ticker
366,0000076334,1985-11-30,Parker-Hannifin,PH,added_ticker
251,0000049826,1986-02-28,Illinois Tool Works,ITW,added_ticker
212,0000039911,1986-08-31,Gap Inc.,GPS,added_ticker
351,0000072333,1986-08-31,Nordstrom,JWN,added_ticker
318,0001613103,1986-10-31,Medtronic plc,MDT,added_ticker
75,0000012659,1986-11-30,Block H&R,HRB,added_ticker
433,0000096021,1986-12-31,Sysco Corp.,SYY,added_ticker
310,0000062709,1987-08-31,Marsh & McLennan,MMC,added_ticker
63,0000008818,1987-12-31,Avery Dennison Corp,AVY,added_ticker
240,0000354950,1988-03-31,Home Depot,HD,added_ticker
379,0000713676,1988-04-30,PNC Financial Services,PNC,added_ticker
428,0000750556,1988-05-31,SunTrust Banks,STI,added_ticker
116,0000831001,1988-05-31,Citigroup Inc.,C,added_ticker
348,0000320187,1988-11-30,Nike,NKE,added_ticker
170,0000031462,1989-01-31,Ecolab Inc.,ECL,added_ticker
342,0000814453,1989-04-30,Newell Brands,NWL,added_ticker
221,0000320335,1989-04-30,Globe Life Inc.,GL,added_ticker
363,0001341439,1989-08-31,Oracle Corp.,ORCL,added_ticker
59,0000769397,1989-12-01,Autodesk Inc.,ADSK,added_ticker
306,0000101778,1991-05-01,Marathon Oil Corp.,MRO,added_ticker
30,0001002910,1991-09-19,Ameren Corp,AEE,added_ticker
40,0000318154,1992-01-02,Amgen Inc.,AMGN,added_ticker
297,0001707925,1992-07-01,Linde plc,LIN,added_ticker
259,0000051644,1992-10-01,Interpublic Group,IPG,added_ticker
136,0000909832,1993-10-01,Costco Wholesale Corp.,COST,added_ticker
115,0000858877,1993-12-01,Cisco Systems,CSCO,added_ticker
167,0000915389,1994-01-01,Eastman Chemical,EMN,added_ticker
278,0000091576,1994-03-01,KeyCorp,KEY,added_ticker
466,0000005513,1994-03-01,Unum Group,UNM,added_ticker
325,0000789019,1994-06-01,Microsoft Corp.,MSFT,added_ticker
461,0000731766,1994-07-01,United Health Group Inc.,UNH,added_ticker
422,0000092380,1994-07-01,Southwest Airlines,LUV,added_ticker
97,0000813828,1994-09-01,CBS Corp.,CBS,added_ticker
324,0000723125,1994-09-27,Micron Technology,MU,added_ticker
80,0000885725,1995-02-24,Boston Scientific,BSX,added_ticker
50,0000006951,1995-03-16,Applied Materials Inc.,AMAT,added_ticker
67,0001390777,1995-03-31,The Bank of New York Mellon Corp.,BK,added_ticker
24,0000899051,1995-07-13,Allstate Corp,ALL,added_ticker
126,0000028412,1995-12-01,Comerica Inc.,CMA,added_ticker
45,0000315293,1996-04-23,Aon plc,AON,added_ticker
61,0000866787,1997-01-02,AutoZone Inc,AZO,added_ticker
6,0000796343,1997-05-05,Adobe Systems Inc,ADBE,added_ticker
91,0000721371,1997-05-27,Cardinal Health Inc.,CAH,added_ticker
105,0000316709,1997-06-02,Charles Schwab Corporation,SCHW,added_ticker
177,0000033185,1997-06-19,Equifax Inc.,EFX,added_ticker
47,0000006769,1997-07-28,Apache Corporation,APA,added_ticker
384,0000080661,1997-08-04,Progressive Corp.,PGR,added_ticker
501,0001041061,1997-10-06,Yum! Brands Inc,YUM,added_ticker
69,0000092230,1997-12-04,BB&T Corporation,BBT,added_ticker
113,0000020286,1997-12-18,Cincinnati Financial,CINF,added_ticker
89,0000927628,1998-07-01,Capital One Financial,COF,added_ticker
401,0001281761,1998-08-28,Regions Financial Corp.,RF,added_ticker
9,0000874761,1998-10-02,AES Corp,AES,added_ticker
93,0000815097,1998-12-22,Carnival Corp.,CCL,added_ticker
102,0000018926,1999-03-25,CenturyLink Inc,CTL,added_ticker
21,0001578845,1999-04-12,"Allergan, Plc",AGN,added_ticker
121,0000811156,1999-05-03,CMS Energy,CMS,added_ticker
11,0000004977,1999-05-28,AFLAC Inc,AFL,added_ticker
340,0001002047,1999-06-25,NetApp,NTAP,added_ticker
72,0000764478,1999-06-29,Best Buy Co. Inc.,BBY,added_ticker
478,0001396009,1999-06-30,Vulcan Materials,VMC,added_ticker
42,0000006281,1999-10-12,"Analog Devices, Inc.",ADI,added_ticker
499,0000743988,1999-11-08,Xilinx,XLNX,added_ticker
118,0000877890,1999-12-01,Citrix Systems,CTXS,added_ticker
12,0001090872,2000-06-05,Agilent Technologies Inc,A,added_ticker
445,0000098246,2000-06-21,Tiffany & Co.,TIF,added_ticker
149,0001090012,2000-08-30,Devon Energy,DVN,added_ticker
176,0000821189,2000-11-02,EOG Resources,EOG,added_ticker
711,,2000-12-05,Owens-Illinois,OI,removed_ticker
926,,2000-12-05,Allegheny Energy,AYE,added_ticker
712,,2000-12-05,W.R. Grace,GRA,removed_ticker
713,,2000-12-05,Crown Holdings,CCK,removed_ticker
925,,2000-12-05,Symbol Technologies,SBL,added_ticker
404,0000315213,2000-12-05,Robert Half International,RHI,added_ticker
710,,2000-12-05,Bethlehem Steel,BS,removed_ticker
927,,2000-12-05,Ambac Financial,ABK,added_ticker
261,0000896878,2000-12-05,Intuit Inc.,INTU,added_ticker
427,0000310764,2000-12-12,Stryker Corp.,SYK,added_ticker
114,0000723254,2001-03-01,Cintas Corporation,CTAS,added_ticker
199,0000798354,2001-04-02,Fiserv Inc,FISV,added_ticker
503,0000109380,2001-06-22,Zions Bancorp,ZION,added_ticker
502,0001136869,2001-08-07,Zimmer Biomet Holdings,ZBH,added_ticker
38,0001140859,2001-08-30,AmerisourceBergen Corp,ABC,added_ticker
358,0001045810,2001-11-30,Nvidia Corporation,NVDA,added_ticker
179,0000906107,2001-12-03,Equity Residential,EQR,added_ticker
417,0001063761,2002-06-26,Simon Property Group Inc,SPG,added_ticker
462,0001090727,2002-07-22,United Parcel Service,UPS,added_ticker
173,0000712515,2002-07-22,Electronic Arts,EA,added_ticker
382,0001126328,2002-07-22,Principal Financial Group,PFG,added_ticker
223,0000886982,2002-07-22,Goldman Sachs Group,GS,added_ticker
386,0001137774,2002-07-22,Prudential Financial,PRU,added_ticker
44,0001156039,2002-07-25,Anthem,ANTM,added_ticker
451,0000086312,2002-08-21,The Travelers Companies Inc.,TRV,added_ticker
394,0001022079,2002-12-12,Quest Diagnostics,DGX,added_ticker
48,0000922864,2003-03-14,Apartment Investment & Management,AIV,added_ticker
430,0000849399,2003-03-25,Symantec Corp.,SYMC,added_ticker
385,0001045609,2003-07-17,Prologis,PLD,added_ticker
709,,2003-09-25,Quintiles Transnational,QTRN,removed_ticker
923,,2003-09-25,Express Scripts,ESRX,added_ticker
73,0000875045,2003-11-13,Biogen Inc.,BIIB,added_ticker
166,0001015780,2004-03-31,E*Trade,ETFC,added_ticker
336,0001623613,2004-04-23,Mylan N.V.,MYL,added_ticker
220,0000882095,2004-07-01,Gilead Sciences,GILD,added_ticker
289,0000920148,2004-11-01,Laboratory Corp. of America Holding,LH,added_ticker
338,0001021860,2005-03-14,National Oilwell Varco Inc.,NOV,added_ticker
708,,2005-07-01,Great Lakes Chemical,GLK,removed_ticker
131,0000016918,2005-07-01,Constellation Brands,STZ,added_ticker
388,0001393311,2005-08-19,Public Storage,PSA,added_ticker
37,0000820027,2005-10-03,Ameriprise Financial,AMP,added_ticker
294,0000920760,2005-10-04,Lennar Corp.,LEN,added_ticker
28,0001018724,2005-11-18,Amazon.com Inc.,AMZN,added_ticker
181,0001001250,2006-01-05,Estee Lauder Cos.,EL,added_ticker
471,0001014473,2006-02-01,Verisign Inc.,VRSN,added_ticker
79,0001037540,2006-04-03,Boston Properties,BXP,added_ticker
26,0001652044,2006-04-03,Alphabet Inc Class C,GOOG,added_ticker
281,0000879101,2006-04-04,Kimco Realty,KIM,added_ticker
120,0001156375,2006-08-11,CME Group Inc.,CME,added_ticker
99,0000816284,2006-11-06,Celgene Corp.,CELG,added_ticker
195,0001136893,2006-11-10,Fidelity National Information Services,FIS,added_ticker
96,0001138118,2006-11-10,CBRE Group,CBRE,added_ticker
123,0001058290,2006-11-17,Cognizant Technology Solutions,CTSH,added_ticker
62,0000915912,2007-01-10,"AvalonBay Communities, Inc.",AVB,added_ticker
707,,2007-01-10,Symbol Technologies,SBL,removed_ticker
395,0001037038,2007-02-02,Ralph Lauren Corporation,RL,added_ticker
469,0000203527,2007-02-12,Varian Medical Systems,VAR,added_ticker
85,0001043277,2007-03-02,C. H. Robinson Worldwide,CHRW,added_ticker
243,0001070750,2007-03-20,Host Hotels & Resorts,HST,added_ticker
920,,2007-03-30,Kraft Foods,KFT,added_ticker
706,,2007-03-30,Sabre Holdings,TSG,removed_ticker
56,0001267238,2007-04-10,Assurant,AIZ,added_ticker
152,0001393612,2007-07-02,Discover Financial Services,DFS,added_ticker
14,0001086222,2007-07-12,Akamai Technologies Inc,AKAM,added_ticker
705,,2007-08-24,KeySpan,KSE,removed_ticker
919,,2007-08-24,Leucadia National,LUK,added_ticker
270,0000096223,2007-08-27,Jefferies Financial Group,JEF,added_ticker
323,0000827054,2007-09-07,Microchip Technology,MCHP,added_ticker
255,0001571949,2007-09-26,Intercontinental Exchange,ICE,added_ticker
186,0001324424,2007-10-02,Expedia Group,EXPE,added_ticker
350,0000072207,2007-10-08,Noble Energy Inc,NBL,added_ticker
187,0000746515,2007-10-10,Expeditors,EXPD,added_ticker
704,,2007-10-25,Avaya Inc.,AV,removed_ticker
918,,2007-10-25,Jacobs Engineering Group,JEC,added_ticker
268,0000052988,2007-10-26,Jacobs Engineering Group,JEC,added_ticker
35,0001053507,2007-11-19,American Tower Corp.,AMT,added_ticker
917,,2007-12-13,GameStop,GME,added_ticker
703,,2007-12-13,Dow Jones,DJ,removed_ticker
702,,2007-12-20,Tribune Co.,TRB,removed_ticker
916,,2007-12-20,Range Resources,RRC,added_ticker
448,0000721683,2008-01-02,Total System Services,TSS,added_ticker
375,0001413329,2008-03-31,Philip Morris International,PM,added_ticker
231,0000765880,2008-03-31,HCP Inc.,HCP,added_ticker
262,0001035267,2008-06-02,Intuitive Surgical Inc.,ISRG,added_ticker
701,,2008-06-10,Ambac Financial,ABK,removed_ticker
915,,2008-06-10,Lorillard Inc.,LO,added_ticker
86,0000858470,2008-06-23,Cabot Oil & Gas,COG,added_ticker
313,0001141391,2008-07-18,Mastercard Inc.,MA,added_ticker
145,0000927066,2008-07-31,DaVita Inc.,DVA,added_ticker
263,0000914208,2008-08-21,Invesco Ltd.,IVZ,added_ticker
104,0001324404,2008-08-27,CF Industries Holdings Inc,CF,added_ticker
410,0001108524,2008-09-15,Salesforce.com,CRM,added_ticker
378,0001038357,2008-09-24,Pioneer Natural Resources,PXD,added_ticker
41,0000820313,2008-09-30,Amphenol Corp,APH,added_ticker
202,0000030625,2008-10-02,Flowserve Corporation,FLS,added_ticker
337,0001120193,2008-10-22,"Nasdaq, Inc.",NDAQ,added_ticker
485,0000783325,2008-10-31,Wec Energy Group Inc,WEC,added_ticker
271,0000091419,2008-11-06,JM Smucker,SJM,added_ticker
370,0001378946,2008-11-13,People's United Financial,PBCT,added_ticker
496,0001174922,2008-11-14,Wynn Resorts Ltd,WYNN,added_ticker
148,0000818479,2008-11-14,Dentsply Sirona,XRAY,added_ticker
402,0001060391,2008-12-05,Republic Services Inc,RSG,added_ticker
201,0000354908,2009-01-02,FLIR Systems,FLIR,added_ticker
266,0001020569,2009-01-06,Iron Mountain Incorporated,IRM,added_ticker
488,0000766704,2009-01-30,Welltower Inc.,WELL,added_ticker
914,,2009-03-03,Ventas Inc.,VTR,added_ticker
913,,2009-03-03,Hormel Foods,HRL,added_ticker
700,,2009-03-03,Jones Apparel Group,JNY,removed_ticker
699,,2009-03-03,American Capital,ACAS,removed_ticker
242,0000048465,2009-03-04,Hormel Foods Corp.,HRL,added_ticker
470,0000740260,2009-03-04,Ventas Inc,VTR,added_ticker
359,0000898173,2009-03-27,O'Reilly Automotive,ORLY,added_ticker
440,0001681459,2009-06-05,TechnipFMC,FTI,added_ticker
489,0000106040,2009-07-01,Western Digital,WDC,added_ticker
392,0001050915,2009-07-01,Quanta Services Inc.,PWR,added_ticker
203,0000037785,2009-08-19,FMC Corporation,FMC,added_ticker
192,0000815556,2009-09-15,Fastenal Co,FAST,added_ticker
912,,2009-09-28,Airgas Inc,ARG,added_ticker
698,,2009-09-28,Cooper Industries Ltd.,CBE,removed_ticker
911,,2009-11-03,Priceline.com,PCLN,added_ticker
697,,2009-11-03,Schering-Plough Corp.,SGP,removed_ticker
77,0001075531,2009-11-06,Booking Holdings Inc,BKNG,added_ticker
408,0000745732,2009-12-21,Ross Stores,ROST,added_ticker
476,0001403161,2009-12-21,Visa Inc.,V,added_ticker
407,0000882835,2009-12-23,Roper Technologies,ROP,added_ticker
356,0001013871,2010-01-29,NRG Energy,NRG,added_ticker
71,0001067983,2010-02-16,Berkshire Hathaway,BRK.B,added_ticker
910,,2010-02-26,Helmerich & Payne,HP,added_ticker
696,,2010-02-26,IMS Health,RX,removed_ticker
232,0000046765,2010-03-01,Helmerich & Payne,HP,added_ticker
153,0001437107,2010-03-01,Discovery Inc. Class A,DISCA,added_ticker
362,0001039684,2010-03-15,ONEOK,OKE,added_ticker
695,,2010-04-29,BJ Services Company,BJS,removed_ticker
909,,2010-04-29,Cerner Corp.,CERN,added_ticker
103,0000804753,2010-04-30,Cerner,CERN,added_ticker
92,0001170010,2010-06-28,Carmax Inc,KMX,added_ticker
694,,2010-06-28,XTO Energy Inc.,XTO,removed_ticker
907,,2010-06-30,QEP Resources,QEP,added_ticker
693,,2010-06-30,Questar Corp.,STR,removed_ticker
906,,2010-07-14,Chubb Limited,CB,added_ticker
692,,2010-07-14,Millipore Inc.,MIL,removed_ticker
109,0000896159,2010-07-15,Chubb Limited,CB,added_ticker
691,,2010-08-26,Smith International Inc.,SII,removed_ticker
905,,2010-08-26,Tyco International Ltd.,TYC,added_ticker
273,0000833444,2010-08-27,Johnson Controls International,JCI,added_ticker
253,0001466258,2010-11-17,Ingersoll-Rand PLC,IR,added_ticker
689,,2010-12-17,Office Depot Inc.,ODP,removed_ticker
690,,2010-12-17,The New York Times Co.,NYT,removed_ticker
904,,2010-12-17,Newfield Exploration,NFX,added_ticker
688,,2010-12-17,Eastman Kodak Co.,EK,removed_ticker
901,,2010-12-17,Cablevision Systems Corp.,CVC,added_ticker
687,,2010-12-17,King Pharmaceuticals Inc.,KG,removed_ticker
902,,2010-12-17,F5 Networks Inc.,FFIV,added_ticker
903,,2010-12-17,Netflix Inc.,NFLX,added_ticker
341,0001065280,2010-12-20,Netflix Inc.,NFLX,added_ticker
190,0001048695,2010-12-20,F5 Networks,FFIV,added_ticker
